op,calls_per_forward,mean_ms_per_forward,mean_ms_per_call,total_ms_all_iters,pct_of_total
aten::mkldnn_convolution,31.0,4.892422999999929,0.15782009677419126,489.2422999999929,67.64797995182265
aten::_slow_conv2d_forward,10.0,0.2862299999999751,0.02862299999999751,28.62299999999751,3.9577283692781253
aten::_convolution,41.0,0.2563040000000034,0.006251317073170815,25.630400000000343,3.5439388322662273
aten::cat,8.0,0.2404650000000014,0.030058125000000175,24.04650000000014,3.3249315317002157
aten::copy_,20.0,0.21261999999999287,0.010630999999999642,21.261999999999286,2.939916171875624
forward,1.0,0.17626999999997384,0.17626999999997384,17.626999999997384,2.4373013997575805
aten::sum,9.0,0.14897500000003172,0.016552777777781302,14.897500000003173,2.059890940199789
aten::clamp,9.0,0.14174500000001872,0.015749444444446523,14.17450000000187,1.959921069431753
aten::mul,8.0,0.12491100000000277,0.015613875000000346,12.491100000000277,1.7271558129299998
aten::empty,88.0,0.06631800000003828,0.0007536136363640713,6.631800000003828,0.9169850469690843
aten::transpose,25.0,0.061495000000010736,0.0024598000000004296,6.1495000000010736,0.8502969851826222
aten::div_,9.0,0.05912800000000023,0.006569777777777803,5.912800000000023,0.817568259856403
aten::view,23.0,0.04839100000001581,0.0021039565217398177,4.839100000001581,0.6691067795752261
aten::as_strided_,31.0,0.04543900000001837,0.0014657741935489796,4.543900000001837,0.6282892057845686
aten::mean,9.0,0.03891000000000442,0.0043233333333338245,3.891000000000442,0.5380121260826703
aten::as_strided,96.0,0.03784999999997732,0.00039427083333309703,3.7849999999977317,0.5233554092062337
aten::unsqueeze,24.0,0.03326100000002372,0.0013858750000009883,3.326100000002372,0.4599028868066417
aten::squeeze,16.0,0.03244600000001534,0.0020278750000009586,3.2446000000015336,0.44863380732162916
aten::sigmoid,8.0,0.030891000000000148,0.0038613750000000184,3.089100000000015,0.42713268020606426
aten::clone,8.0,0.02427200000001858,0.0030340000000023226,2.427200000001858,0.3356111622792878
aten::resize_,41.0,0.024195000000025012,0.0005901219512201223,2.4195000000025013,0.33454647624215333
aten::_to_copy,9.0,0.022653999999996864,0.0025171111111107628,2.2653999999996866,0.3132389284059045
aten::narrow,14.0,0.02203500000002601,0.0015739285714304293,2.203500000002601,0.30467995883434307
aten::slice,14.0,0.02018499999997275,0.0014417857142837679,2.018499999997275,0.279099839757461
aten::hardtanh_,9.0,0.01766199999998571,0.0019624444444428565,1.766199999998571,0.24421408817433451
aten::expand,9.0,0.016069999999967787,0.0017855555555519763,1.6069999999967786,0.2222013586772089
aten::split,4.0,0.015459999999996707,0.003864999999999177,1.5459999999996707,0.213766832928177
aten::adaptive_avg_pool2d,9.0,0.014518999999980697,0.0016132222222200775,1.4518999999980697,0.20075553992760262
aten::contiguous,8.0,0.014107000000001353,0.001763375000000169,1.4107000000001353,0.19505877827417364
aten::fill_,9.0,0.013805999999984234,0.0015339999999982481,1.3805999999984233,0.19089682376479106
aten::hardtanh,9.0,0.012933999999996813,0.001437111111110757,1.2933999999996812,0.17883960007069527
aten::addmm,1.0,0.010486999999998114,0.010486999999998114,1.0486999999998114,0.14500470743323848
aten::thnn_conv2d,10.0,0.010439000000014203,0.0010439000000014203,1.0439000000014202,0.1443410070466204
aten::to,18.0,0.010362999999988624,0.0005757222222215903,1.0362999999988625,0.14329014810043583
aten::empty_like,8.0,0.010311999999990622,0.0012889999999988278,1.0311999999990622,0.1425849664394454
aten::chunk,4.0,0.007959000000000523,0.0019897500000001307,0.7959000000000523,0.11004982039300357
aten::empty_strided,9.0,0.007732999999995645,0.0008592222222217384,0.7732999999995646,0.10692489773822858
aten::expand_as,8.0,0.007010000000019936,0.000876250000002492,0.7010000000019936,0.09692791066177889
chunk,4.0,0.006204000000000578,0.0015510000000001445,0.6204000000000578,0.08578327499914723
aten::linear,1.0,0.0027880000000091603,0.0027880000000091603,0.27880000000091604,0.03854993080244778
aten::t,1.0,0.0021449999999925058,0.0021449999999925058,0.21449999999925057,0.029659111036832816
aten::detach,2.0,0.0017270000000011352,0.0008635000000005676,0.1727000000001135,0.023879386834882468
aten::flatten,1.0,0.0015430000000030122,0.0015430000000030122,0.15430000000030122,0.02133520201868637
aten::reshape,2.0,0.0011910000000048423,0.0005955000000024211,0.11910000000048422,0.016468065848547743
aten::resolve_conj,2.0,0.0003069999999999709,0.00015349999999998546,0.03069999999999709,0.004244917057500523
