op,calls_per_forward,mean_ms_per_forward,mean_ms_per_call,total_ms_all_iters,pct_of_total
forward,1.0,2.468346999999939,2.468346999999939,246.8346999999939,24.51224218345113
aten::_convolution,41.0,1.5937409999999987,0.038871731707317045,159.37409999999988,15.826853100352798
aten::_conv_depthwise2d,24.0,1.1110100000000196,0.04629208333333415,111.10100000000196,11.03302987312448
aten::cudnn_convolution,17.0,0.5533050000000107,0.0325473529411771,55.330500000001074,5.494667549301224
aten::transpose,25.0,0.4989529999999815,0.01995811999999926,49.89529999999815,4.954917916386692
aten::clamp,9.0,0.27566900000000055,0.03062988888888895,27.566900000000054,2.7375669994818272
aten::clone,8.0,0.27127699999999405,0.033909624999999256,27.127699999999408,2.693951670004295
aten::unsqueeze,16.0,0.2694050000000246,0.016837812500001537,26.94050000000246,2.6753615295715787
aten::squeeze,16.0,0.25421199999999605,0.015888249999999753,25.421199999999605,2.524485459272759
aten::expand,8.0,0.17252700000000526,0.021565875000000657,17.252700000000527,1.713301900901497
aten::hardtanh,9.0,0.1610620000000103,0.017895777777778923,16.10620000000103,1.5994472213798774
aten::mean,9.0,0.15858799999999404,0.017620888888888225,15.858799999999404,1.574878841341634
aten::hardtanh_,9.0,0.15388000000000723,0.017097777777778583,15.388000000000723,1.5281254326031672
aten::adaptive_avg_pool2d,9.0,0.15217899999999965,0.016908777777777738,15.217899999999965,1.511233429998089
aten::empty_like,8.0,0.14511600000000016,0.01813950000000002,14.511600000000016,1.4410933862596247
aten::narrow,8.0,0.14303700000000144,0.01787962500000018,14.303700000000143,1.420447605297967
aten::split,4.0,0.14251599999999207,0.035628999999998016,14.251599999999208,1.41527374676924
aten::contiguous,8.0,0.14163200000001294,0.017704000000001618,14.163200000001293,1.4064950693427436
aten::slice,8.0,0.13713499999999745,0.01714187499999968,13.713499999999746,1.3618370236549364
aten::add_,9.0,0.13499199999999403,0.014999111111110448,13.499199999999403,1.3405556823365476
aten::expand_as,8.0,0.13250200000001416,0.01656275000000177,13.250200000001417,1.3158284122094945
aten::copy_,8.0,0.1311570000000012,0.01639462500000015,13.115700000000118,1.3024717140884194
fused_unsqueeze_sigmoid,8.0,0.12371900000001398,0.015464875000001748,12.371900000001398,1.2286076838851296
aten::reshape,9.0,0.12282100000000341,0.013646777777778157,12.28210000000034,1.2196899776302963
fused_mul_cat,8.0,0.11590400000001001,0.014488000000001252,11.590400000001,1.1509998059555788
aten::chunk,4.0,0.08058899999999065,0.020147249999997664,8.058899999999065,0.80029958726304
chunk,4.0,0.07130200000001154,0.017825500000002884,7.130200000001154,0.7080738211299945
aten::view,26.0,0.06393899999998923,0.002459192307691893,6.393899999998922,0.6349545882193453
aten::empty,32.0,0.0612320000000186,0.0019135000000005812,6.12320000000186,0.6080723712580008
aten::addmm,1.0,0.056977000000000014,0.056977000000000014,5.697700000000001,0.5658175381688757
aten::as_strided,73.0,0.053254999999997985,0.0007295205479451778,5.325499999999798,0.5288557311754274
aten::resize_,24.0,0.04768099999997735,0.0019867083333323897,4.768099999997736,0.4735023963602391
aten::linear,1.0,0.030080000000001692,0.030080000000001692,3.008000000000169,0.2987133676416929
aten::flatten,1.0,0.018840999999995056,0.018840999999995056,1.8840999999995056,0.18710301062949938
aten::t,1.0,0.017758999999996722,0.017758999999996722,1.7758999999996723,0.17635806834932002
aten::to,9.0,0.0035129999999945257,0.00039033333333272506,0.35129999999945255,0.034886305203576225
