op,n_calls_total,n_calls_per_forward,mean_ms_per_forward,pct_of_total
forward,100,1.0,12.272969,33.41239656131058
aten::_convolution,4300,43.0,6.007202999999955,16.35423741885872
aten::mkldnn_convolution,3300,33.0,5.316650999999994,14.474252447805272
aten::max_pool2d,800,8.0,4.296951000000005,11.698182470478026
aten::max_pool2d_with_indices,800,8.0,4.268563000000004,11.620897901961433
aten::adaptive_avg_pool2d,900,9.0,0.3872490000000084,1.0542613735903057
aten::mean,900,9.0,0.36817400000000655,1.0023308696994329
aten::thnn_conv2d,1000,10.0,0.362890999999995,0.9879482300110423
aten::_slow_conv2d_forward,1000,10.0,0.3503069999999808,0.953689070851754
aten::cat,800,8.0,0.2826270000000128,0.769434470414938
aten::contiguous,800,8.0,0.23829700000000945,0.6487487961039371
aten::clone,800,8.0,0.2232919999999998,0.6078986146683948
aten::copy_,2000,20.0,0.2127100000000064,0.5790897762844985
aten::sum,900,9.0,0.1869930000000026,0.5090768395315947
aten::hardtanh_,900,9.0,0.18209500000001402,0.49574233845390775
aten::hardtanh,900,9.0,0.16356100000000925,0.4452846734938244
aten::add,1000,10.0,0.1629160000000267,0.44352870101630393
aten::clamp,900,9.0,0.1512900000000092,0.4118776374128367
aten::mul,800,8.0,0.13474300000000178,0.36682945665883543
aten::div_,900,9.0,0.1318089999999831,0.3588418237143124
aten::empty,9800,98.0,0.07561099999998785,0.20584625581608232
aten::transpose,2500,25.0,0.07310600000001384,0.19902654875210993
aten::to,1800,18.0,0.0699759999999743,0.1905053179693854
aten::_to_copy,900,9.0,0.05783199999998684,0.15744403150804614
chunk,400,4.0,0.05561899999999685,0.15141927632534782
aten::view,2300,23.0,0.05467499999999304,0.1488492949008038
aten::narrow,1400,14.0,0.051873999999987846,0.14122374620363
aten::as_strided_,3300,33.0,0.049959999999992434,0.13601299996788255
aten::chunk,400,4.0,0.04910399999999797,0.13368259308293914
aten::squeeze,1600,16.0,0.04506199999997612,0.12267849889012018
aten::as_strided,9600,96.0,0.04455599999998925,0.12130094528759869
aten::batch_norm,100,1.0,0.04432299999999424,0.12066661724532803
aten::unsqueeze,2400,24.0,0.04230999999997996,0.11518634965250714
aten::split,400,4.0,0.0413809999999918,0.1126572047972515
aten::sigmoid,800,8.0,0.03471599999998698,0.09451215586236898
aten::expand_as,800,8.0,0.028780000000003896,0.07835176419288996
aten::slice,1400,14.0,0.02874700000000044,0.07826192374053986
aten::resize_,4300,43.0,0.027136999999944064,0.07387879864134067
aten::linear,100,1.0,0.023814000000012894,0.06483213733461568
aten::_batch_norm_impl_index,100,1.0,0.022921000000002148,0.0624010002454884
aten::expand,900,9.0,0.021136999999984453,0.05754417094314361
aten::empty_like,900,9.0,0.019796999999999267,0.05389610409056203
aten::native_batch_norm,100,1.0,0.015654999999991977,0.0426197661028109
aten::addmm,100,1.0,0.015281000000002005,0.04160157430964373
aten::fill_,900,9.0,0.01517900000001237,0.04132388563880073
aten::empty_strided,900,9.0,0.009987999999985352,0.027191710241741884
aten::t,100,1.0,0.003985000000002947,0.010848915229633603
aten::flatten,100,1.0,0.003401999999997024,0.009261733904931981
aten::reshape,200,2.0,0.0021399999999965804,0.005826017212386862
aten::detach,200,2.0,0.0020659999999981665,0.00562455680411206
aten::resolve_conj,200,2.0,0.00035799999999810094,0.0009746327859938157
